name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,Route_1
Mori Ai,JPN,1,183.2,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,7,6,X,6,7,6,2,2,TOP
Grossman Natalia,USA,2,160.8,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,1,1,X,2,2,2,2,2,39+
Bertone Oriane,FRA,3,159.4,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,4,2,1,1,5,5,1,1,35+
SEO Chaehyun,KOR,4,150.8,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,4,1,X,X,6,4,6,6,38+
Raboutou Brooke,USA,5,148.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,1,1,2,1,X,5,1,1,36+
Ito Futaba,JPN,6,129.0,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,1,1,X,1,X,X,1,1,36
Dörffel Lucia,GER,7,127.4,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,4,3,2,1,X,X,1,1,31+
Coscoy Cloe,USA,8,126.3,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,1,3,3,5,3,3,1,29+
Nonaka Miho,JPN,9,122.9,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,1,1,X,6,4,3,4,4,28
AOYAGI Mia,JPN,10,118.7,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,1,1,X,X,4,4,1,1,28
Kura Nanako,JPN,11,108.3,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,2,1,X,3,1,1,5,5,22
Tanii Natsuki,JPN,12,104.0,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,2,X,X,X,X,1,1,35+
Krampl Mia,SLO,13,101.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,2,X,4,X,X,X,X,38+
Caulier Chloe,BEL,14,97.0,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,3,1,X,5,X,X,4,4,26+
NAKAGAWA Ryu,JPN,15,89.2,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,3,1,4,3,X,5,X,X,25+
Ota Risa,JPN,16,84.9,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,2,X,X,X,X,X,X,35+
Kümin Andrea,SUI,17,84.2,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,1,X,2,X,7,3,3,25+
LUO ZHILU,CHN,18,82.9,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,1,X,1,X,X,3,3,26+
Hily Manon,FRA,19,79.8,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,1,X,X,X,X,X,X,35+
Cullen Kylie,USA,20,74.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,1,2,1,X,4,X,X,25
Zhang YUETONG,CHN,21,61.9,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,1,X,X,X,X,X,X,29
Lukan Vita,SLO,22,57.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,1,X,X,X,X,X,X,26
Shiran Noa,ISR,23,54.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,1,X,4,X,X,X,X,25+
Yip Alannah,CAN,24,49.3,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,2,X,X,X,X,X,X,25+
Lin Hsiu-Ju,TPE,25,35.8,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,X,X,X,X,X,X,X,23
Lee Hung Ying,TPE,26,33.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,5,X,X,X,X,X,X,17+
Hanggi Correia Mariana,BRA,27,14.3,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,X,X,X,X,X,X,X,10+
NYAMDOO SELENGE,MGL,28,0.0,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Qualification,2022-10-20,/api/v1/category_rounds/7554/results,/api/v1/events/1234/result/618,X,X,X,X,X,X,X,X,4
